timestamp,user,scope,target,result,detail
2026-03-10T10:08:44+01:00,d.kern,COMPLIANCE_REVIEW,incident-retention-summary,success,monthly pack check
2026-03-11T09:41:16+01:00,s.schluster,ARCH_REVIEW_READ,caregrid-stage-eu,success,routine comparison
2026-03-12T08:57:03+01:00,e.roth,ARCH_REVIEW_READ,active-environments,success,environment listing review
2026-03-13T11:30:28+01:00,d.kern,COMPLIANCE_REVIEW,access_scope_index,success,quarterly control review
2026-03-15T08:17:49+01:00,s.schluster,ARCH_REVIEW_READ,resilience-sim-eu,success,comparison check
2026-03-16T09:02:37+01:00,e.roth,ARCH_REVIEW_READ,stage_backup_targets,success,review prep
2026-03-17T15:31:12+01:00,s.schluster,ARCH_REVIEW_READ,active-environments,success,compare visible review set
2026-03-17T15:36:44+01:00,s.schluster,ARCH_REVIEW_READ,review_env_traffic,success,outbound volume check
2026-03-17T15:40:09+01:00,s.schluster,ARCH_REVIEW_READ,resilience-review-shadow,success,unexpected environment query
2026-03-17T16:09:18+01:00,s.schluster,ARCH_REVIEW_READ,change_ticket_lookup,success,no matching local ticket
2026-03-17T19:14:07+01:00,e.roth,ARCH_REVIEW_READ,resilience-sim-eu,success,environment comparison
2026-03-17T19:57:44+01:00,e.roth,ARCH_REVIEW_READ,resilience-review-shadow,success,scope follow-up
